PassengerId,KNN
0152_01,0.28
0160_01,0.12
0163_01,0.96
0163_02,0.96
0164_01,0.2
0164_02,0.8
0165_01,0.76
0167_01,0.8
0167_02,0.12
0169_01,0.76
0170_01,0.24
0171_01,0.8
0172_01,0.76
0173_01,0.32
0174_01,0.16
0177_01,0.16
0178_01,0.12
0179_01,0.24
0179_02,0.68
0179_03,0.68
0181_01,0.04
0182_01,0.96
0183_01,0.2
0186_01,0.12
0188_01,0.8
0189_01,0.08
0190_01,0.8
0192_01,0.76
0192_02,0.68
0192_03,0.16
0193_01,0.76
0193_02,0.32
0193_03,0.68
0195_01,0.16
0196_01,0.08
0197_01,0.08
0198_01,0.76
0199_01,0.8
0200_01,0.76
0201_01,1.0
0201_02,1.0
0202_01,0.96
0202_02,0.08
0203_01,1.0
0205_01,0.6
0206_01,0.28
0207_01,0.76
0210_01,0.96
0211_01,0.16
0211_02,0.76
0211_03,0.32
0212_01,0.08
0212_02,0.24
0213_01,0.24
0216_01,0.44
0217_01,0.08
0219_01,0.76
0220_01,0.76
0220_02,0.68
0220_03,0.76
0220_04,0.24
0220_05,0.28
0220_06,0.68
0220_07,0.76
0221_01,0.28
0221_02,0.24
0221_03,0.48
0221_04,0.8
0221_05,0.12
0221_06,0.08
0221_07,0.8
0222_01,0.16
0222_02,0.8
0222_03,0.8
0223_01,0.6
0224_01,0.08
0225_01,0.76
0229_01,0.2
0231_01,0.16
0232_01,0.8
0233_01,0.08
0234_01,0.28
0237_01,0.96
0239_01,0.08
0240_01,0.76
0241_01,0.08
0242_01,0.08
0243_01,0.8
0244_01,0.76
0244_02,0.8
0245_01,0.4
0245_02,0.08
0246_01,0.32
0248_01,0.08
0250_01,0.8
0251_01,1.0
0252_01,0.24
0253_01,0.28
0254_01,0.12
0255_01,1.0
0257_01,0.28
0257_02,0.8
0258_01,0.2
0260_01,0.16
0261_01,0.24
0263_01,0.76
0265_01,1.0
0267_01,0.16
0269_01,0.84
0270_01,0.2
0275_01,1.0
0277_01,0.2
0278_01,0.08
0278_02,0.16
0281_01,0.72
0282_01,0.72
0283_01,0.76
0283_02,0.24
0285_01,0.96
0285_02,0.96
0286_01,0.08
0287_01,0.96
0287_02,0.08
0288_01,0.08
0289_01,1.0
0290_01,0.16
0290_02,1.0
0290_03,1.0
0290_04,0.92
0291_01,0.52
0294_01,1.0
0297_01,0.12
0298_01,0.96
0301_01,0.76
0302_01,0.16
0303_01,0.8
0304_01,0.16
0305_01,0.08
0306_01,0.2
0307_01,0.76
0309_01,0.08
0310_01,0.08
0313_01,0.24
0313_02,0.76
0313_03,0.08
0313_04,0.68
0314_01,0.08
0315_01,0.8
0316_01,0.52
0316_02,1.0
0320_01,0.32
0320_02,0.68
0321_01,0.28
0322_01,0.8
0324_01,0.76
0326_01,0.8
0327_01,0.08
0330_01,0.92
0330_02,0.16
0330_03,0.16
0331_01,0.16
0333_01,0.76
0334_01,0.16
0336_01,0.16
0337_01,0.8
0337_02,0.08
0337_03,0.6
0338_01,0.8
0340_01,1.0
0341_01,0.76
0343_01,0.08
0345_01,0.8
0346_01,0.76
0347_01,0.28
0348_01,0.12
0348_02,0.16
0350_01,0.76
0352_01,0.16
0355_01,0.76
0356_01,0.96
0357_01,0.2
0358_01,0.8
0358_02,0.8
0359_01,0.2
0360_01,0.2
0361_01,0.24
0365_01,0.24
0368_01,0.08
0368_02,0.76
0369_01,0.2
0370_01,0.16
0371_01,0.76
0372_01,0.24
0373_01,0.76
0375_01,0.16
0376_01,0.08
0377_01,0.16
0378_01,0.2
0378_02,1.0
0378_03,0.2
0378_04,1.0
0378_05,1.0
0378_06,0.36
0378_07,1.0
0379_01,0.08
0380_01,0.96
0381_01,0.96
0381_02,0.96
0382_01,0.08
0383_01,0.2
0383_02,0.8
0384_01,0.6
0384_02,0.08
0385_01,0.24
0387_01,0.76
0388_01,0.8
0389_01,0.24
0391_01,0.28
0392_01,0.24
0395_01,0.08
0395_02,0.4
0396_01,0.8
0397_01,0.8
0398_01,0.08
0401_01,0.08
0401_02,0.16
0402_01,1.0
0403_01,0.24
0405_01,0.24
0407_01,0.24
0407_02,0.16
0407_03,0.76
0408_01,0.24
0409_01,0.32
0410_01,0.32
0411_01,0.32
0412_01,0.52
0413_01,0.16
0415_01,0.8
0417_01,0.96
0417_02,0.08
0417_03,0.96
0423_01,0.08
0425_01,0.12
0425_02,0.76
0425_03,0.76
0427_01,0.12
0428_01,0.16
0429_01,0.24
0429_02,1.0
0430_01,0.32
0431_01,0.76
0432_01,0.4
0433_01,0.96
0433_02,0.08
0434_01,0.8
0435_01,0.8
0436_01,0.6
0436_02,0.24
0437_01,0.08
0437_02,0.08
0438_01,1.0
0439_01,0.12
0441_01,0.08
0442_01,0.28
0444_01,0.24
0444_02,0.16
0445_01,0.04
0445_02,0.24
0446_01,0.96
0447_01,0.28
0448_01,0.08
0448_02,0.76
0449_01,0.8
0452_01,0.8
0453_01,1.0
0453_02,0.96
0453_03,1.0
0454_01,0.16
0454_02,1.0
0454_03,1.0
0456_01,0.08
0457_01,0.16
0457_02,0.76
0457_03,0.68
0458_01,1.0
0459_01,0.08
0460_01,0.8
0461_01,0.72
0461_02,0.4
0461_03,0.6
0462_01,0.8
0463_01,0.16
0463_02,0.24
0465_01,0.24
0465_02,0.2
0466_01,0.72
0468_01,0.76
0470_01,0.8
0470_02,0.8
0471_01,0.08
0471_02,0.4
0472_01,0.4
0474_01,0.8
0475_01,0.04
0476_01,0.12
0476_02,0.76
0476_03,0.76
0477_01,0.24
0480_01,0.12
0481_01,0.8
0482_01,0.24
0482_02,0.44
0485_01,0.16
0487_01,0.2
0488_01,0.76
0490_01,0.8
0498_01,0.96
0498_02,1.0
0499_01,0.8
0499_02,0.6
0500_01,0.32
0501_01,0.08
0502_01,0.32
0503_01,0.6
0503_02,0.08
0503_03,0.48
0504_01,1.0
0504_02,1.0
0504_03,1.0
0504_04,0.36
0504_05,1.0
0504_06,1.0
0506_01,0.8
0507_01,0.6
0510_01,0.4
0512_01,0.16
0512_02,1.0
0513_01,0.76
0515_01,1.0
0516_01,0.64
0517_01,0.08
0518_01,0.8
0519_01,0.8
0520_01,0.28
0521_01,0.28
0522_01,0.16
0523_01,0.2
0525_01,0.76
0527_01,0.2
0527_02,0.8
0528_01,0.08
0529_01,0.76
0531_01,0.76
0531_02,0.76
0533_01,0.32
0534_01,0.12
0534_02,0.12
0537_01,0.16
0538_01,0.28
0539_01,0.96
0539_02,0.96
0539_03,0.96
0539_04,0.96
0539_05,0.08
0540_01,0.8
0540_02,0.04
0542_01,0.12
0545_01,0.08
0546_01,0.48
0547_01,0.4
0548_01,0.84
0549_01,0.16
0549_02,0.8
0550_01,0.24
0551_01,0.12
0552_01,1.0
0553_01,0.96
0553_02,0.4
0555_01,0.96
0555_02,0.4
0556_01,0.44
0559_01,0.68
0560_01,0.6
0560_02,0.6
0560_03,0.24
0561_01,0.28
0563_01,0.12
0564_01,0.96
0564_02,0.96
0564_03,0.08
0565_01,0.16
0566_01,0.8
0567_01,0.8
0568_01,0.6
0568_02,1.0
0569_01,0.8
0570_01,0.16
0571_01,0.96
0571_02,0.96
0571_03,0.96
0571_04,0.96
0571_05,0.96
0571_06,0.08
0571_07,0.96
0572_01,0.08
0573_01,0.08
0575_01,0.96
0576_01,0.56
0577_01,0.16
0579_01,0.48
0579_02,0.4
0580_01,0.76
0581_01,0.2
0582_01,0.76
0583_01,0.8
0583_02,0.8
0583_03,0.8
0585_01,0.76
0585_02,0.76
0585_03,0.16
0586_01,0.96
0587_01,0.12
0588_01,0.76
0589_01,0.16
0590_01,0.2
0591_01,0.8
0593_01,0.12
0594_01,0.6
0594_02,0.2
0596_01,0.16
0597_01,0.76
0597_02,0.76
0598_01,0.8
0599_01,0.68
0599_02,0.68
0599_03,0.16
0599_04,0.76
0600_01,0.36
0602_01,0.76
0602_02,0.68
0602_03,0.76
0603_01,0.16
0607_01,0.12
0607_02,0.12
0607_03,0.12
0608_01,0.68
0609_01,0.08
0610_01,0.2
0611_01,0.8
0612_01,0.96
0614_01,0.6
0615_01,0.8
0615_02,0.6
0615_03,0.8
0618_01,0.16
0618_02,0.28
0619_01,1.0
0619_02,1.0
0623_01,0.8
0628_01,0.32
0629_01,0.04
0630_01,0.8
0631_01,0.8
0633_01,0.08
0634_01,0.16
0635_01,0.72
0635_02,0.12
0636_01,0.16
0636_02,0.16
0637_01,0.6
0638_01,0.96
0639_01,0.2
0641_01,0.08
0642_01,0.16
0642_02,0.36
0642_03,0.08
0642_04,1.0
0642_05,1.0
0643_01,0.24
0644_01,0.96
0645_01,0.12
0646_01,1.0
0647_01,0.8
0647_02,0.8
0647_03,0.28
0650_01,0.8
0653_01,0.8
0655_01,0.24
0656_01,0.08
0657_01,0.32
0657_02,0.56
0658_01,0.24
0659_01,0.8
0660_01,0.8
0661_01,0.08
0663_01,0.08
0664_01,0.08
0665_01,0.16
0665_02,0.24
0668_01,0.2
0669_01,0.24
0671_01,0.76
0672_01,0.04
0674_01,0.8
0677_01,0.8
0678_01,0.8
0679_01,0.24
0680_01,0.76
0680_02,0.76
0680_03,0.76
0682_01,0.8
0683_01,0.24
0684_01,0.68
0684_02,0.68
0684_03,0.76
0685_01,0.2
0686_01,0.76
0686_02,0.32
0687_01,0.2
0688_01,0.12
0689_01,1.0
0690_01,0.8
0691_01,0.28
0691_02,0.28
0691_03,0.8
0693_01,0.96
0693_02,0.16
0696_01,0.56
0697_01,0.32
0699_01,0.8
0699_02,0.12
0701_01,1.0
0702_01,0.08
0703_01,0.8
0704_01,0.76
0705_01,0.72
0707_01,0.8
0709_01,0.16
0709_02,1.0
0709_03,0.96
0710_01,0.08
0712_01,0.32
0712_02,0.76
0713_01,0.24
0714_01,0.76
0714_02,0.68
0714_03,0.68
0714_04,0.76
0714_05,0.76
0714_06,0.76
0714_07,0.76
0715_01,0.96
0718_01,0.32
0719_01,0.68
0724_01,0.24
0726_01,0.76
0727_01,0.04
0728_01,0.2
0729_01,0.4
0732_01,0.8
0733_01,0.2
0734_01,0.12
0736_01,0.16
0737_01,0.16
0738_01,0.76
0740_01,0.08
0740_02,0.96
0740_03,0.28
0743_01,0.8
0746_01,0.8
0750_01,0.2
0753_01,0.96
0753_02,0.12
0753_03,0.96
0754_01,0.96
0756_01,1.0
0756_02,0.2
0756_03,1.0
0757_01,0.04
0761_01,0.08
0762_01,0.8
0764_01,0.8
0765_01,0.08
0765_02,0.08
0767_01,0.4
0768_01,0.08
0768_02,0.96
0769_01,1.0
0770_01,0.8
0770_02,0.32
0770_03,0.8
0770_04,0.8
0770_05,0.6
0770_06,0.8
0771_01,0.76
0772_01,0.36
0772_02,1.0
0772_03,0.8
0772_04,0.92
0773_01,0.24
0776_01,0.2
0777_01,0.4
0779_01,0.2
0781_01,0.2
0782_01,0.76
0784_01,1.0
0785_01,0.16
0786_01,0.76
0787_01,0.76
0788_01,0.12
0789_01,0.36
0789_02,0.36
0789_03,1.0
0790_01,0.8
0791_01,0.76
0793_01,0.08
0794_01,0.8
0794_02,0.8
0795_01,0.08
0796_01,1.0
0797_01,0.08
0798_01,0.8
0799_01,0.08
0802_01,0.8
0805_01,0.52
0806_01,0.2
0806_02,0.6
0808_01,0.2
0809_01,0.6
0809_02,0.4
0809_03,0.08
0809_04,0.6
0811_01,0.04
0811_02,0.8
0811_03,0.6
0813_01,0.76
0815_01,0.04
0816_01,0.16
0817_01,0.76
0818_01,0.92
0819_01,0.8
0820_01,0.68
0820_02,0.08
0822_01,0.68
0823_01,0.8
0823_02,0.72
0824_01,0.08
0825_01,0.76
0826_01,0.28
0828_01,0.08
0828_02,0.08
0829_01,0.36
0830_01,0.2
0833_01,0.96
0834_01,0.08
0835_01,0.12
0836_01,0.48
0839_01,0.44
0840_01,0.24
0845_01,0.16
0846_01,0.8
0848_01,0.76
0848_02,0.76
0849_01,0.92
0849_02,1.0
0850_01,0.8
0851_01,0.12
0853_01,1.0
0859_01,0.8
0860_01,0.12
0863_01,0.8
0863_02,0.6
0863_03,0.8
0865_01,1.0
0865_02,1.0
0867_01,0.36
0868_01,0.8
0869_01,0.28
0870_01,0.2
0871_01,0.2
0873_01,0.16
0874_01,0.84
0875_01,0.6
0876_01,0.24
0877_01,0.96
0878_01,0.08
0879_01,0.12
0881_01,0.16
0883_01,0.12
0885_01,0.8
0885_02,0.8
0889_01,0.64
0889_02,0.08
0890_01,0.12
0893_01,0.76
0898_01,0.8
0899_01,0.72
0899_02,0.76
0901_01,0.28
0902_01,0.2
0903_01,0.8
0904_01,0.08
0905_01,0.16
0906_01,0.56
0907_01,0.08
0907_02,0.08
0910_01,0.8
0911_01,0.16
0911_02,0.32
0912_01,0.16
0913_01,0.08
0915_01,0.04
0918_01,0.12
0919_01,0.08
0921_01,0.8
0922_01,0.96
0922_02,0.08
0923_01,0.16
0923_02,1.0
0924_01,0.28
0925_01,0.16
0925_02,0.76
0925_03,0.76
0926_01,0.16
0926_02,0.36
0927_01,0.4
0928_01,0.76
0930_01,0.08
0930_02,0.76
0931_01,0.2
0932_01,0.76
0933_01,0.44
0933_02,0.08
0935_01,0.16
0938_01,0.16
0938_02,0.76
0938_03,0.6
0939_01,0.76
0940_01,0.24
0941_01,0.24
0942_01,0.16
0944_01,0.16
0944_02,0.68
0946_01,0.24
0947_01,0.28
0949_01,0.76
0951_01,0.8
0952_01,0.28
0953_01,0.2
0955_01,0.8
0956_01,0.32
0957_01,0.76
0960_01,0.2
0961_01,0.8
0964_01,0.96
0964_02,0.96
0965_01,0.08
0966_01,0.16
0968_01,0.12
0969_01,0.76
0970_01,0.76
0971_01,0.76
0972_01,0.2
0975_01,0.12
0976_01,0.8
0978_01,0.24
0979_01,0.92
0982_01,0.76
0982_02,0.24
0983_01,0.8
0984_01,0.32
0984_02,0.76
0984_03,0.32
0984_04,0.8
0984_05,0.24
0984_06,0.8
0984_07,0.8
0984_08,0.8
0985_01,0.16
0987_01,0.16
0988_01,0.84
0988_02,0.24
0989_01,0.68
0990_01,0.4
0991_01,0.8
0992_01,0.16
0992_02,0.16
0992_03,0.44
0992_04,0.28
0992_05,1.0
0992_06,0.16
0993_01,0.16
0994_01,0.8
0994_02,0.12
0995_01,0.96
0997_01,0.12
0998_01,0.08
1000_01,0.16
1001_01,0.8
1002_01,0.6
1002_02,0.2
1002_03,0.8
1004_01,1.0
1005_01,0.2
1006_01,0.08
1006_02,0.8
1006_03,0.68
1008_01,1.0
1008_02,1.0
1011_01,0.12
1011_02,0.76
1012_01,0.76
1013_01,0.8
1014_01,0.76
1015_01,0.56
1017_01,0.56
1018_01,0.76
1019_01,0.72
1020_01,0.76
1022_01,0.2
1024_01,0.2
1024_02,0.76
1024_03,0.08
1024_04,0.68
1025_01,0.32
1026_01,0.8
1027_01,0.68
1027_02,0.32
1027_03,0.16
1027_04,0.68
1029_01,0.76
1030_01,0.12
1031_01,0.2
1032_01,0.76
1033_01,0.76
1034_01,0.08
1035_01,0.08
1036_01,0.8
1038_01,0.56
1040_01,0.24
1041_01,0.96
1043_01,0.16
1045_01,0.64
1045_02,0.08
1046_01,0.04
1047_01,0.76
1048_01,0.36
1049_01,0.76
1049_02,0.76
1051_01,0.12
1052_01,0.28
1053_01,0.04
1054_01,0.32
1056_01,0.76
1056_02,0.76
1057_01,0.96
1058_01,0.2
1060_01,0.08
1062_01,0.2
1063_01,0.16
1063_02,0.96
1065_01,0.8
1066_01,0.76
1068_01,0.8
1071_01,0.24
1075_01,1.0
1075_02,1.0
1076_01,0.76
1077_01,0.16
1078_01,0.28
1079_01,0.08
1080_01,0.48
1082_01,0.08
1083_01,0.8
1083_02,0.8
1083_03,0.04
1084_01,0.24
1085_01,0.76
1086_01,0.76
1086_02,0.68
1086_03,0.76
1086_04,0.04
1086_05,0.68
1088_01,0.8
1089_01,0.96
1089_02,0.08
1091_01,0.76
1093_01,0.12
1094_01,0.2
1095_01,0.96
1096_01,0.04
1097_01,0.8
1099_01,0.8
1100_01,0.12
1100_02,0.68
1100_03,0.32
1100_04,0.12
1102_01,0.08
1105_01,0.12
1108_01,0.12
1108_02,0.8
1110_01,0.16
1110_02,0.16
1112_01,0.08
1113_01,0.08
1114_01,0.28
1114_02,0.6
1115_01,0.8
1116_01,0.6
1116_02,0.28
1116_03,0.8
1117_01,0.16
1121_01,0.2
1123_01,0.08
1127_01,1.0
1129_01,0.08
1130_01,0.8
1130_02,0.08
1132_01,0.76
1133_01,0.68
1134_01,0.96
1136_01,0.44
1140_01,0.36
1140_02,1.0
1140_03,1.0
1141_01,0.8
1142_01,0.28
1144_01,0.6
1144_02,0.2
1144_03,0.2
1146_01,0.08
1147_01,0.96
1148_01,0.96
1148_02,0.08
1148_03,0.08
1148_04,0.08
1148_05,0.96
1148_06,0.96
1148_07,0.12
1149_01,0.6
1149_02,0.6
1149_03,0.8
1149_04,0.6
1149_05,0.6
1150_01,0.8
1152_01,0.2
1153_01,0.76
1154_01,0.96
1154_02,0.96
1154_03,0.96
1155_01,0.24
1155_02,0.76
1156_01,0.36
1156_02,1.0
1161_01,0.36
1161_02,0.16
1162_01,0.16
1163_01,0.2
1165_01,0.08
1165_02,0.08
1165_03,0.96
1165_04,0.96
1166_01,0.52
1167_01,0.76
1168_01,0.2
1169_01,0.28
1170_01,0.32
1173_01,0.48
1174_01,0.76
1175_01,0.8
1177_01,0.96
1178_01,0.76
1179_01,1.0
1180_01,0.56
1182_01,0.76
1182_02,0.08
1182_03,0.28
1185_01,0.08
1186_01,0.6
1186_02,0.6
1186_03,0.8
1186_04,0.68
1186_05,0.6
1187_01,0.4
1187_02,0.6
1187_03,0.6
1188_01,0.08
1190_01,0.2
1191_01,0.08
1192_01,0.2
1193_01,1.0
1193_02,1.0
1195_01,0.32
1197_01,0.08
1198_01,0.28
1199_01,0.16
1203_01,0.16
1206_01,0.12
1208_01,0.16
1210_01,0.76
1210_02,0.24
1211_01,0.8
1211_02,0.8
1211_03,0.8
1211_04,0.8
1211_05,0.4
1211_06,0.8
1211_07,0.6
1212_01,0.16
1213_01,0.2
1214_01,0.76
1215_01,0.8
1216_01,0.28
1218_01,0.08
1220_01,0.08
1221_01,0.6
1221_02,0.08
1222_01,0.16
1223_01,1.0
1225_01,0.16
1228_01,0.76
1228_02,0.28
1229_01,0.04
1230_01,0.2
1231_01,0.76
1232_01,1.0
1232_02,0.16
1233_01,0.76
1234_01,0.76
1235_01,0.24
1236_01,0.28
1238_01,0.36
1238_02,1.0
1239_01,0.08
1240_01,0.28
1242_01,0.08
1243_01,0.08
1243_02,0.4
1246_01,0.24
1248_01,0.6
1250_01,0.24
1254_01,0.2
1254_02,0.08
1255_01,0.8
1255_02,0.8
1256_01,0.04
1258_01,0.08
1259_01,0.32
1260_01,0.76
1261_01,0.08
1263_01,0.2
1264_01,0.08
1267_01,0.8
1269_01,0.16
1271_01,0.76
1273_01,0.08
1274_01,0.04
1278_01,0.76
1279_01,0.96
1280_01,0.8
1281_01,0.8
1282_01,0.76
1283_01,0.24
1284_01,0.8
1285_01,0.24
1286_01,0.8
1287_01,0.76
1287_02,0.76
1287_03,0.08
1288_01,0.12
1289_01,0.6
1289_02,0.16
1291_01,0.24
1292_01,0.36
1292_02,0.2
1293_01,0.08
1294_01,1.0
1294_02,1.0
1294_03,0.32
1295_01,0.08
1299_01,0.28
1300_01,0.24
1302_01,0.08
1304_01,0.76
1304_02,0.68
1304_03,0.68
1304_04,0.68
1304_05,0.76
1304_06,0.68
1306_01,0.16
1306_02,0.92
1307_01,0.76
1308_01,0.96
1308_02,0.16
1308_03,0.16
1308_04,1.0
1309_01,0.2
1310_01,0.16
1311_01,0.68
1311_02,0.24
1311_03,0.12
1312_01,0.76
1316_01,1.0
1316_02,0.36
1317_01,0.08
1322_01,0.76
1323_01,0.76
1324_01,0.8
1324_02,0.6
1324_03,0.8
1325_01,0.8
1325_02,0.2
1325_03,0.8
1326_01,0.2
1326_02,0.28
1328_01,0.76
1330_01,0.08
1330_02,0.2
1331_01,0.8
1332_01,0.08
1333_01,0.16
1335_01,0.76
1336_01,0.8
1337_01,0.2
1340_01,0.8
1342_01,0.2
1345_01,0.08
1347_01,0.6
1348_01,0.16
1348_02,1.0
1350_01,0.8
1350_02,0.08
1350_03,0.24
1350_04,0.8
1351_01,0.68
1352_01,0.2
1353_01,0.6
1353_02,0.2
1353_03,0.8
1353_04,0.6
1355_01,0.76
1356_01,0.24
1357_01,0.8
1360_01,0.72
1362_01,0.28
1365_01,0.16
1365_02,1.0
1366_01,0.76
1368_01,0.76
1370_01,0.08
1371_01,0.28
1375_01,0.6
1375_02,0.84
1376_01,0.76
1377_01,0.08
1378_01,0.12
1378_02,0.12
1379_01,0.24
1380_01,0.16
1381_01,0.8
1382_01,0.68
1383_01,1.0
1384_01,0.12
1384_02,0.8
1384_03,0.44
1384_04,0.08
1384_05,0.4
1385_01,0.28
1386_01,0.76
1387_01,0.16
1389_01,0.8
1390_01,0.76
1391_01,0.76
1391_02,0.12
1391_03,0.12
1393_01,0.12
1393_02,0.12
1395_01,0.6
1397_01,0.24
1398_01,0.2
1399_01,0.2
1400_01,0.76
1401_01,0.04
1402_01,0.8
1402_02,0.8
1403_01,0.08
1404_01,0.36
1404_02,0.08
1406_01,0.28
1407_01,0.12
1407_02,0.12
1408_01,0.4
1410_01,0.2
1412_01,0.32
1413_01,0.8
1414_01,0.12
1415_01,0.12
1416_01,0.76
1417_01,0.16
1419_01,0.28
1420_01,0.8
1421_01,0.08
1421_02,0.2
1423_01,1.0
1423_02,1.0
1423_03,1.0
1424_01,0.96
1424_02,0.28
1424_03,0.64
1424_04,0.4
1424_05,0.96
1425_01,0.08
1425_02,0.76
1425_03,0.76
1426_01,0.96
1427_01,0.8
1427_02,0.12
1428_01,0.56
1430_01,0.08
1431_01,0.16
1433_01,0.8
1434_01,0.2
1434_02,0.68
1434_03,0.76
1435_01,0.2
1438_01,0.24
1439_01,0.24
1439_02,0.08
1440_01,0.4
1442_01,0.8
1443_01,0.76
1444_01,0.6
1445_01,0.6
1447_01,0.28
1450_01,1.0
1450_02,0.16
1451_01,0.16
1451_02,1.0
1452_01,0.12
1452_02,0.96
1452_03,0.08
1452_04,0.08
1452_05,0.96
1453_01,0.2
1453_02,0.24
1454_01,0.36
1455_01,1.0
1455_02,0.16
1455_03,1.0
1455_04,0.36
1455_05,0.36
1457_01,0.56
1458_01,0.28
1460_01,0.24
1460_02,0.76
1461_01,0.8
1462_01,0.76
1463_01,0.48
1465_01,0.24
1467_01,0.04
1474_01,0.76
1478_01,0.08
1478_02,0.12
1479_01,0.76
1481_01,0.16
1484_01,0.16
1485_01,0.76
1488_01,0.76
1489_01,0.08
1490_01,0.08
1491_01,0.08
1491_02,0.12
1491_03,0.68
1493_01,0.04
1498_01,0.2
1499_01,0.08
1500_01,0.6
1500_02,0.6
1500_03,0.68
1500_04,0.8
1500_05,0.28
1500_06,0.8
1500_07,0.8
1501_01,0.24
1503_01,0.16
1503_02,0.16
1506_01,0.36
1507_01,0.32
1507_02,0.28
1507_03,0.24
1507_04,0.24
1509_01,0.16
1510_01,0.08
1511_01,0.16
1511_02,1.0
1511_03,0.16
1511_04,0.2
1515_01,0.28
1520_01,0.8
1521_01,0.8
1523_01,1.0
1523_02,1.0
1524_01,0.8
1525_01,0.24
1526_01,0.04
1527_01,0.96
1527_02,0.64
1528_01,0.16
1529_01,0.16
1529_02,0.92
1531_01,0.28
1532_01,0.44
1533_01,0.12
1536_01,0.8
1539_01,0.16
1540_01,0.08
1540_02,0.52
1540_03,0.4
1541_01,0.24
1542_01,0.08
1543_01,0.96
1544_01,0.12
1545_01,0.16
1547_01,0.08
1548_01,0.96
1548_02,0.96
1550_01,0.16
1550_02,0.28
1551_01,0.52
1552_01,0.8
1555_01,0.44
1558_01,0.28
1560_01,0.32
1561_01,0.12
1562_01,0.32
1564_01,0.8
1565_01,0.44
1567_01,0.96
1568_01,0.2
1568_02,0.76
1569_01,0.76
1572_01,0.24
1572_02,0.32
1573_01,0.2
1576_01,0.08
1577_01,0.8
1578_01,0.16
1579_01,0.28
1580_01,0.32
1580_02,0.2
1581_01,0.76
1581_02,0.76
1584_01,0.08
1584_02,0.76
1585_01,0.76
1588_01,0.96
1588_02,0.4
1590_01,0.36
1590_02,0.16
1592_01,0.16
1592_02,0.64
1593_01,0.24
1594_01,0.12
1595_01,0.08
1596_01,0.96
1597_01,0.76
1599_01,0.96
1599_02,0.96
1601_01,0.2
1602_01,0.24
1603_01,0.28
1603_02,0.76
1603_03,0.68
1604_01,0.24
1606_01,0.16
1608_01,0.16
1611_01,0.44
1612_01,0.16
1612_02,0.96
1613_01,0.24
1614_01,0.32
1615_01,0.16
1615_02,0.76
1615_03,0.68
1617_01,0.12
1619_01,0.8
1621_01,0.04
1621_02,0.2
1622_01,0.76
1624_01,0.8
1624_02,0.28
1624_03,0.8
1625_01,0.96
1625_02,0.08
1626_01,0.28
1628_01,1.0
1630_01,0.8
1630_02,0.8
1630_03,0.4
1631_01,0.28
1632_01,1.0
1633_01,0.76
1633_02,0.76
1634_01,0.8
1635_01,0.08
1636_01,0.08
1637_01,0.8
1638_01,0.08
1640_01,0.08
1644_01,0.16
1645_01,0.96
1646_01,0.72
1647_01,0.16
